Date,Price,,,,
"Dec 27, 2002",47.96,,,,
"Dec 30, 2002",47.91,,,,
"Dec 31, 2002",47.95,,,,
"Feb 01, 2002",48.5,,,,
"Feb 04, 2002",48.59,,,,
"Feb 05, 2002",48.64,,,,
"Feb 06, 2002",48.66,,,,
"Feb 07, 2002",48.67,,,,
"Feb 08, 2002",48.65,,,,
"Feb 11, 2002",48.7,,,,
"Feb 12, 2002",48.64,,,,
"Feb 13, 2002",48.65,,,,
"Feb 14, 2002",48.66,,,,
"Feb 15, 2002",48.66,,,,
"Feb 18, 2002",48.6,,,,
"Feb 19, 2002",48.62,,,,
"Feb 20, 2002",48.59,,,,
"Feb 21, 2002",48.64,,,,
"Feb 22, 2002",48.74,,,,
"Feb 25, 2002",48.77,,,,
"Feb 26, 2002",48.7,,,,
"Feb 27, 2002",48.71,,,,
"Feb 28, 2002",48.71,,,,
"Jan 02, 2002",48.22,,,,
"Jan 03, 2002",48.23,,,,
"Jan 04, 2002",48.23,,,,
"Jan 07, 2002",48.22,,,,
"Jan 08, 2002",48.25,,,,
"Jan 09, 2002",48.27,,,,
"Jan 10, 2002",48.36,,,,
"Jan 11, 2002",48.39,,,,
"Jan 14, 2002",48.31,,,,
"Jan 15, 2002",48.26,,,,
"Jan 16, 2002",48.25,,,,
"Jan 17, 2002",48.27,,,,
"Jan 18, 2002",48.22,,,,
"Jan 21, 2002",48.3,,,,
"Jan 22, 2002",48.32,,,,
"Jan 23, 2002",48.32,,,,
"Jan 24, 2002",48.39,,,,
"Jan 25, 2002",48.33,,,,
"Jan 28, 2002",48.32,,,,
"Jan 29, 2002",48.38,,,,
"Jan 30, 2002",48.48,,,,
"Jan 31, 2002",48.51,,,,
"Jul 01, 2002",48.81,,,,
"Jul 02, 2002",48.82,,,,
"Jul 03, 2002",48.78,,,,
"Jul 04, 2002",48.81,,,,
"Jul 05, 2002",48.81,,,,
"Jul 08, 2002",48.79,,,,
"Jul 09, 2002",48.77,,,,
"Jul 10, 2002",48.77,,,,
"Jul 11, 2002",48.76,,,,
"Jul 12, 2002",48.75,,,,
"Jul 15, 2002",48.8,,,,
"Jul 16, 2002",48.78,,,,
"Jul 17, 2002",48.76,,,,
"Jul 18, 2002",48.75,,,,
"Jul 19, 2002",48.7,,,,
"Jul 22, 2002",48.68,,,,
"Jul 23, 2002",48.67,,,,
"Jul 24, 2002",48.66,,,,
"Jul 25, 2002",48.66,,,,
"Jul 26, 2002",48.66,,,,
"Jul 29, 2002",48.71,,,,
"Jul 30, 2002",48.69,,,,
"Jul 31, 2002",48.64,,,,
"Jun 03, 2002",49.02,,,,
"Jun 04, 2002",49.02,,,,
"Jun 05, 2002",49,,,,
"Jun 06, 2002",48.98,,,,
"Jun 07, 2002",49,,,,
"Jun 10, 2002",48.97,,,,
"Jun 11, 2002",48.95,,,,
"Jun 12, 2002",48.95,,,,
"Jun 13, 2002",48.99,,,,
"Jun 14, 2002",48.98,,,,
"Jun 17, 2002",48.97,,,,
"Jun 18, 2002",48.94,,,,
"Jun 19, 2002",48.89,,,,
"Jun 20, 2002",48.89,,,,
"Jun 21, 2002",48.9,,,,
"Jun 24, 2002",48.86,,,,
"Jun 25, 2002",48.88,,,,
"Jun 26, 2002",48.82,,,,
"Jun 27, 2002",48.81,,,,
"Jun 28, 2002",48.86,,,,
"Mar 01, 2002",48.71,,,,
"Mar 04, 2002",48.67,,,,
"Mar 05, 2002",48.67,,,,
"Mar 06, 2002",48.66,,,,
"Mar 07, 2002",48.71,,,,
"Mar 08, 2002",48.71,,,,
"Mar 11, 2002",48.71,,,,
"Mar 12, 2002",48.71,,,,
"Mar 13, 2002",48.69,,,,
"Mar 14, 2002",48.69,,,,
"Mar 15, 2002",48.68,,,,
"Mar 18, 2002",48.69,,,,
"Mar 19, 2002",48.71,,,,
"Mar 20, 2002",48.71,,,,
"Mar 21, 2002",48.73,,,,
"Mar 22, 2002",48.75,,,,
"Mar 25, 2002",48.75,,,,
"Mar 26, 2002",48.73,,,,
"Mar 27, 2002",48.78,,,,
"Mar 28, 2002",48.78,,,,
"Mar 29, 2002",48.78,,,,
"May 01, 2002",48.93,,,,
"May 02, 2002",48.93,,,,
"May 03, 2002",48.95,,,,
"May 06, 2002",48.92,,,,
"May 07, 2002",48.94,,,,
"May 08, 2002",48.92,,,,
"May 09, 2002",48.94,,,,
"May 10, 2002",48.97,,,,
"May 13, 2002",48.98,,,,
"May 14, 2002",48.97,,,,
"May 15, 2002",48.99,,,,
"May 16, 2002",49,,,,
"May 17, 2002",48.99,,,,
"May 20, 2002",49.01,,,,
"May 21, 2002",48.96,,,,
"May 22, 2002",48.96,,,,
"May 23, 2002",49.02,,,,
"May 24, 2002",48.97,,,,
"May 27, 2002",48.95,,,,
"May 28, 2002",48.97,,,,
"May 29, 2002",48.96,,,,
"May 30, 2002",48.98,,,,
"May 31, 2002",49.01,,,,
"Nov 01, 2002",48.31,,,,
"Nov 04, 2002",48.31,,,,
"Nov 05, 2002",48.3,,,,
"Nov 06, 2002",48.31,,,,
"Nov 07, 2002",48.29,,,,
"Nov 08, 2002",48.24,,,,
"Nov 11, 2002",48.23,,,,
"Nov 12, 2002",48.25,,,,
"Nov 13, 2002",48.25,,,,
"Nov 14, 2002",48.24,,,,
"Nov 15, 2002",48.18,,,,
"Nov 18, 2002",48.18,,,,
"Nov 19, 2002",48.18,,,,
"Nov 20, 2002",48.2,,,,
"Nov 21, 2002",48.16,,,,
"Nov 22, 2002",48.17,,,,
"Nov 25, 2002",48.18,,,,
"Nov 26, 2002",48.19,,,,
"Nov 27, 2002",48.22,,,,
"Nov 28, 2002",48.27,,,,
"Nov 29, 2002",48.31,,,,
"Oct 01, 2002",48.34,,,,
"Oct 02, 2002",48.34,,,,
"Oct 03, 2002",48.33,,,,
"Oct 04, 2002",48.33,,,,
"Oct 07, 2002",48.34,,,,
"Oct 08, 2002",48.34,,,,
"Oct 09, 2002",48.3,,,,
"Oct 10, 2002",48.33,,,,
"Oct 11, 2002",48.31,,,,
"Oct 14, 2002",48.31,,,,
"Oct 15, 2002",48.31,,,,
"Oct 16, 2002",48.36,,,,
"Oct 17, 2002",48.37,,,,
"Oct 18, 2002",48.39,,,,
"Oct 21, 2002",48.33,,,,
"Oct 22, 2002",48.34,,,,
"Oct 23, 2002",48.36,,,,
"Oct 24, 2002",48.37,,,,
"Oct 25, 2002",48.36,,,,
"Oct 28, 2002",48.4,,,,
"Oct 29, 2002",48.36,,,,
"Oct 30, 2002",48.36,,,,
"Oct 31, 2002",48.34,,,,
"Sep 02, 2002",48.45,,,,
"Sep 03, 2002",48.45,,,,
"Sep 04, 2002",48.43,,,,
"Sep 05, 2002",48.45,,,,
"Sep 06, 2002",48.52,,,,
"Sep 09, 2002",48.47,,,,
"Sep 10, 2002",48.47,,,,
"Sep 11, 2002",48.43,,,,
"Sep 12, 2002",48.43,,,,
"Sep 13, 2002",48.42,,,,
"Sep 16, 2002",48.38,,,,
"Sep 17, 2002",48.4,,,,
"Sep 18, 2002",48.38,,,,
"Sep 19, 2002",48.39,,,,
"Sep 20, 2002",48.41,,,,
"Sep 23, 2002",48.39,,,,
"Sep 24, 2002",48.37,,,,
"Sep 25, 2002",48.38,,,,
"Sep 26, 2002",48.38,,,,
"Sep 27, 2002",48.35,,,,
"Sep 30, 2002",48.35,,,,
